127.0.0.1, 2015-06-07 19:19:04, GET, /lpfx_tiss/static/js/calendar.js, HTTP/1.1, 304, 0.001799
127.0.0.1, 2015-06-07 19:19:04, GET, /lpfx_tiss/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001013
127.0.0.1, 2015-06-07 19:19:04, GET, /lpfx_tiss/static/js/jquery.js, HTTP/1.1, 304, 0.002750
127.0.0.1, 2015-06-07 19:19:04, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000886
127.0.0.1, 2015-06-07 19:19:04, GET, /lpfx_tiss/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001168
127.0.0.1, 2015-06-07 19:19:04, GET, /lpfx_tiss/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000334
127.0.0.1, 2015-06-07 19:19:04, GET, /lpfx_tiss/static/js/web2py.js, HTTP/1.1, 304, 0.000431
127.0.0.1, 2015-06-07 19:19:04, GET, /lpfx_tiss/static/images/twitter.png, HTTP/1.1, 304, 0.000390
127.0.0.1, 2015-06-07 19:19:04, GET, /lpfx_tiss/static/images/facebook.png, HTTP/1.1, 304, 0.000633
127.0.0.1, 2015-06-07 19:19:04, GET, /lpfx_tiss/static/images/gplus-32.png, HTTP/1.1, 304, 0.000362
127.0.0.1, 2015-06-07 19:24:17, GET, /lpfx_tiss/default/beneficiario/new/beneficiario, HTTP/1.1, 200, 0.041693
127.0.0.1, 2015-06-07 19:24:17, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000296
127.0.0.1, 2015-06-07 19:25:01, GET, /lpfx_tiss/default/beneficiario/new/beneficiario, HTTP/1.1, 200, 0.025928
127.0.0.1, 2015-06-07 19:25:01, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000432
127.0.0.1, 2015-06-07 19:25:20, GET, /lpfx_tiss/default/beneficiario/new/beneficiario, HTTP/1.1, 500, 0.022373
127.0.0.1, 2015-06-07 19:25:27, GET, /lpfx_tiss/default/beneficiario/new/beneficiario, HTTP/1.1, 200, 0.027225
127.0.0.1, 2015-06-07 19:25:27, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000298
